Filter,Event Name,Start Date,End Date,Region,Locale,Desc,CTA,Vanity,Link
,LOEM Symmit,24-Oct-16,27-Oct-16,PRC,"Shenzhen, China",,,,https://loemsummit2016.com/
General,CES,4-Jan,,ASMO NAR,"Las Vegas, NV",Experience Intel at CES. Learn more about the latest technologies and explore the booth to see our products and demos from every angle!,Experience 360,intel.com/ces,http://www.intel.com/content/www/us/en/events/intel-ces.html
IOT,NRF,15-Jan,17-Jan,ASMO NAR,"New York, NY",,,n/a,https://www-ssl.intel.com/content/www/us/en/events/nrf-2017.html
Education,BETT,24-Jan-17,27-Jan-17,EMEA,"London, England",,,,http://www.intel.co.uk/content/www/uk/en/education/bett.html
IOT,HIMMS,19-Feb,23-Feb,ASMO NAR,"Orlando, FL",Explore technological advances in health analytics and collaborative care are enabling more patient centered care than ever before. ,View the details,intel.com/himss,https://www-ssl.intel.com/content/www/us/en/events/himss.html
Gaming,IEM Katowice,25-Feb,5-Mar,ASMO NAR,"Katowice, Poland","Intel® Extreme Masters will bring the best gaming action to the Spodek Arena with Counter-Strike: Global Offensive, StarCraft II and League of Legends. The tournaments that take the stage in Katowice feature the world’s most talented progamers. ",See the action,n/a,http://en.intelextrememasters.com/season11/worldchampionship/information/
General,Mobile World Congress,27-Feb,2-Mar,EMEA,Barcelona,"See how Intel is bringing together connectivity, cloud, and computing to pave the way for a future powered by 5G and drive the next generation of innovation.",Explore the details,intel.com/mwc,https://www-ssl.intel.com/content/www/us/en/events/corporate/mobile-world-congress.html
IOT,Embedded World,14-Mar,16-Mar,EMEA,Nuremberg,,,,http://www.intel.com/content/www/us/en/internet-of-things/events/embedded-world-2016.html
Data Center,Cebit,20-Mar,24-Mar,EMEA,"Hannover, Germany",,,,http://www.intel.co.uk/content/www/uk/en/events/corporate/cebit.html
IOT,Digital Signage Expo,28-Mar,31-Mar,ASMO NAR,"Las Vegas, NV","Explore our expansive suite of robust turnkey solutions yet, with smart digital signage solutions that are quick to add business value and speed time to market for innovative vertical applications in retail, restaurants, showrooms, and more. ",Learn more,intel.com/dse,https://www-ssl.intel.com/content/www/us/en/events/digital-signage-expo.html
,NAB,22-Apr,27-Apr,ASMO NAR,"Las Vegas, NV","hot, getting bigger",,,
IOT,Hannover Messe,24-Apr,28-Apr,EMEA,"Hannover, Germany","Experience the next industrial revolution & factory of the future with edge-to-cloud IoT solutions that optimize industrial processes and operations, collect, and process data with built-in security.",Explore the details,intel.com/hannover-messe,https://www-ssl.intel.com/content/www/us/en/events/hannover-messe.html
Gaming,IEM Sydney,6-May-17,7-May-17,ASMO NAR,"Sydney, Australia","Intel Extreme Masters is coming to Sydney for two days of world-class esports action! Join us for Australia’s biggest ever esports event, with a record prizepool of $260,000AUD",Learn more,n/a,https://intelextrememasters.com/sydney/information/
Developer,OpenStack Summit - USA,8-May,11-May,ASMO NAR,"Boston, MA",,,,https://www.openstack.org/summit/boston-2017/
Education,ISEF,14-May-17,19-May-17,ASMO NAR,"Los Angeles, CA",,,,http://www.intel.com/content/www/us/en/education/competitions/international-science-and-engineering-fair.html?wapkw=isef
,Makers Faires,19-May,21-May,WW,"San Mateo, CA",,,,
,Retail Executive Conference,22-May-17,24-May-17,WW,"Warsaw, Poland",,,,http://www.intel.eu/content/www/eu/en/events/retail-executive-conference-2017.html
General,Computex,30-May-17,3-Jun-17,APJ,"Taipei, Taiwan",,,,http://www.intel.sg/content/www/xa/en/events/computex.html
HPC,ISC-HPC,18-Jun-17,22-Jun-17,EMEA,"Frankfurt, Germany","hot, getting bigger",,,need to find
,Cisco Live,25-Jun,29-Jun,ASMO NAR,"Las Vegas, NV",,,,need to find
Gaming,IEM Shangai,28-Jul-16,31-Jul-16,ASMO NAR,"Shanghai, China",,,n/a,http://intelextrememasters.com/season11/shanghai/news/
Developer,IDF SF,16-Aug-17,Q3,ASMO NAR,"San Franciso, CA",,,intel.com/idf,http://www.intel.com/content/www/us/en/intel-developer-forum-idf/san-francisco/2017/idf-2017-san-francisco.html
,IBC,14-Sep,18-Sep,EMEA,Amsterdam,"hot, getting bigger",,,
,iCap Summit,18-Sep-17,20-Sep-17,ASMO NAR,"Palm Desert, CA",,,,https://www.intelportfolio.com/globalsummit/attendees.aspx
,Oracle Open World,1-Oct-17,5-Oct-17,ASMO NAR,"San Franciso, CA",,,,
IOT,IOTSWC ,3-Oct-17,5-Oct-17,EMEA,"Barcelona, Spain",,,,http://www.intel.com/content/www/us/en/events/iot-solutions-world-congress-barcelona-2016.html
HPC,HPC Dev Con,11-Nov-17,Q3,ASMO NAR,"Salt Lake City, UT",,,intel.com/hpcdevcon,http://www.intel.com/content/www/us/en/events/hpcdevcon/overview.html
HPC,Supercomputing,13-Nov-17,18-Nov-17,ASMO NAR,"Salt Lake City, UT",,,intel.com/sc16,http://www.intel.com/content/www/us/en/events/intel-supercomputing.html
IOT,NRF,15-Jan,17-Jan,ASMO NAR,"New York, NY",will be tier 1 next year,,n/a,https://www-ssl.intel.com/content/www/us/en/events/nrf-2017.html
IOT,HIMMS,19-Feb,23-Feb,ASMO NAR,"Orlando, FL",will be tier 1 next year,,intel.com/himss,https://www-ssl.intel.com/content/www/us/en/events/himss.html
Gaming,IEM Oakland,19-Nov-16,20-Nov-16,ASMO NAR,"Oakland, CA",,,n/a,http://intelextrememasters.com/season11/oakland/information/
Gaming,IEM Gyeonggi,16-Dec-16,18-Dec-16,ASMO NAR,"Gyeonggi, South Korea",,,n/a,http://intelextrememasters.com/season11/gyeonggi/information/
Data Center,Data Center Day,TBD,TBD,ASMO NAR,TBD,,,,TBD
General,FashionWeek,TBD,TBD,ASMO NAR,TBD,,,,TBD
,Intel solutions summit,,,WW,,,,,Need to find
,Intel PRC Vertical Summit,,,PRC,,,,,Need to find
,Shift (B2B Day),,,ASMO NAR,,,,,TBD
,Distributor Enabling Conference,,,EMEA,,,,,
,ENS at the Masters/Pebble Beach/ MAM,,,ASMO NAR,,,,,
,IoE Regional Forum,,,EMEA,,,,,
